Term,Definition
imperil," 使陷於危險、危及
v. (fml) put (sb/sth) in danger; endanger
"
inchoate," 剛開始的、出使的、未完的
[類] incipient
adj. just begun and therefore not fully formed or developed
"
incisiveness," 深刻、敏銳
"
indifferent," 漠不關心的
adj. having no interest in sb/sth; either for nor against sb/sth; not caring about sb/sth
"
industrious," 勤奮的、勤勞的
adj. hard-working; diligent
"
inquisitive," 好奇的、愛鑽研的
adj. fond of inquiring into other people's affairs
"
interplay," 交互作用、相互影響
n. way in which two or more things have an effect on each other; interaction
"
lavish," 大方的、慷慨給予的
adj. (in doing sth) giving or producing generously or in large quantities
"
lax," 鬆散的、不嚴格的
adj. not sufficiently strict or severe; negligent
"
layout," the way that something is arranged
佈局，佈置，排列
"
lethal," 致命的、危險的
adj. causing or able to cause death
"
list," v. 列表
n. series of names, items, figures, etc written or printed
"
lopsided," 傾向一邊的、不平衡的
"
malleable," 可塑的、展延的
adj. that can be beaten or pressed into different shapes easily
"
momentary," 瞬間的
adj. lasting for a very short time
"
nubulous," 模糊的
adj. cloud like; hazy
"
oblique," 鞋的、間接地、不坦率的
adj. not horizontal or vertical; sloping; slanting
"
outgrowth," 自然結果、產物、副產品
n. natural development or result
"
overbearing," 專橫的、好指使人的、傲慢的
adj. forcing others to do what one wants (without caring about their feelings); domineering
"
palliative," 緩和的、治標不治本的
"
philistine," 不懂藝術的人、沒有教養的人
n. person who has no interest in or understanding of the arts, or is hostile to them; uncultured person
"
phlegmatic," 冷靜的、沈著的
adj. calm and even-tempered; showing the quality of phlegm
"
plastic," 可塑的、易受影響的
"
presage," 預言
[類] foretell, predict
n. sign that sth (esp sth unpleasant) will happen; omen
"
propensity," 傾向、習性
n. (for doing/to do sth)(mL) inclination or tendency
"
querulous," 愛發牢騷的、愛抱怨的
adj. complaining; irritable
"
rebuke," 斥責、指責
[類] reprimand, admonish, chide
[反] commend, endorse
v. sb express sharp or severe disapproval to sb, esp officially; reprove sb
"
rebut," 駁斥、反駁
[類] repel, refute
"
rehash," 重新處理、改寫
v. sth (infml derog) put (ideas, material, etc) into a new form with no great change or improvement
"
ridge," 屋脊、山脊
n. raised line where two sloping surfaces meet; narrow raised strip
"
schematic," 概要的、圖解的
adj. in the form of a diagram or chart
"
serendipitous," 意外發現的
"
somatice," 身體的、軀體的
pertaining to the body; physical
"
sordid," 骯髒的、污穢的
adj. (of conditions, places, etc) dirty and unpleasant; squalid
"
spontaneous," 自發地、自主的
adj. done, happening, said etc because of a voluntary impulse from within, not caused or suggested by sth/sb outside
"
sterling," 優秀的、出色的、高尚的
"
stratification," 分層、階層
"
syntax," 語法、句法
[類] a. syntactic 句法的
n. (rules for the) arrangement of words into phrases and phrases into sentences
"
temerity," 魯莽、冒失、不自量力
[類] recklessness
n. audacity; rashness
"
terse," 簡短的、簡明的、簡潔的
[類] credo
adj. using few words; concise; curt
"
unseemly," 不得體的
adj. (of behavior, etc) not proper or seemly; unbecoming
"
wary," 謹慎的
adj. (of sb/sth)looking out for possible danger or difficulty; cautious
"
exactitude," 正確性、精確性
n. over-correctness
"
coalesce," 聯合、合併
v. combine and form one group, substance, mass etc
"
analgesic," 鎮痛劑、止痛的
adj. n. substance that relieves pain
"
pusillanimous," 膽怯的
adj. cowardly; timid
"
antique," 古代的、古董的、古董
"
adept," 熟練地、內行的
adj. (at/in doing sth) expert or skillful in (doing) sth
"
artifice," 奸計、詭計
n. clever trickery; deception
"
exasperate," 激怒、使惱怒
v. irritate or annoy greatly
"
astronomical," 天文學的、龐大的
"
lambaste," 痛打、痛罵
v. hit (sb) hard and repeatedly; thrash
"
bellicose," 好戰的、好鬥的
adj. eager to fight; warlike; aggressive
"
belligerent," 發動戰爭的、好鬥的、好挑釁的
[類] n. belligerence
adj. showing a desire to rebel; not easily controlled
"
rebellious," 反抗的、難控制的
adj. showing a desire to rebel; not easily controlled
"
forbidding," 可怕的(外貌)
adj. looking unfriendly; stern; threatening
"
brevity," 簡潔、簡練
n. shortness or briefness
"
coincide," 巧合、一致
v. (of events) occur at the same time or occupy the same period of time as sth else
"
nonchalant," 無憂無慮的、漠不關心的
adj. not feeling or showing interest or enthusiasm; calm and casual
"
capitulate," (有條件)投降
v. surrender (to sb), esp on agreed conditions
"
encapsulation," 概括
"
caustic," 腐蝕性的、刻薄的
adj. that can burn or destroy things by chemical action
"
chivalrous," 武士精神的、對努人彬彬有禮的
adj. showing the qualities of a perfect knight
"
chastise," 懲罰、譴責(以保持純潔)
[類] n. chastisement
v. punish (sb) severely, esp by beating
"
chronic," 慢性的、長期的
adj. lasting for a long time; continually recurring
"
succinct," 簡明的、簡潔的
adj. expressed briefly and clearly; concise
"
precocious," 早熟的、早成的
adj. (of a child) having developed certain abilities at an earlier age than usual
"
codify," 將法律、規則編成法典
[類] n. codification
v. arrange (laws, rules, etc) systematically into a code
"
accolade," 推從、讚揚
n. praise; approval
"
concord," 一致、協調、(國際的)和睦
n. harmony between people; lack of quarreling and unfriendliness
"
cordial," 熱忱的、中心的
adj. sincere and friendly
"
copious," 豐富的、多產的
adj. plentiful; abundant
"
accretion," 增加
n. growth or increase by means of gradual additions
"
discredit," 使丟臉、敗壞...的名聲
v. damage the good reputation of
"
excrete," 排泄、分泌
v. (of an animal or a plant) pass out (waste matter, sweat, etc) from the system
"
exculpate," 開脫、申明無罪
v. sb (fml) free sb from blame; say that sb is not guilty
"
concur," 意見相同、一致
"
decorous," 合宜的、高雅的
[反] indecorous 無理的
adj. dignified and socially acceptable
"
deleterious," (對身體)有害的、有毒的
adj. (fml) harmful
"
dexterous," 靈巧的、熟練的
adj. skillful with one's hands
"
dilemma," 兩難、困境
n. situation in which one has to choose between two undesirable things or courses of action
"
abdicate," 正式放棄(權利等)、退(位)、辭(職)
v. resign from or formally renounce the throne
"
dictate," 口述、命令
v. (to sb) say or read aloud (words to be typed, written down or recorded on tape)
"
verdict," 判決、決定
n. decision reached by a jury on a question of fact in a law case
"
endorse," 背書、贊同
v. write one's name on the back of
"
heterodox," 異端的、非正統的
adj. not conforming with accepted standards or beliefs
"
deduce," 演繹、推斷
v. sth arrive at (facts, a theory, etc) by reasoning; infer sth
"
deduct," 減除、扣除
v. sth take away (an amount or a part)
"
seductive," 誘惑的、引人注意的、有魅力的
adj. tending to seduce, charm or tempt sb; attractive
"
equanimity," 鎮定、沉著
n. calmness of mind or temper
"
defamatory," 破壞名譽的、誹謗的
adj. intended to defame
"
facility," 才能、資質、容易做好事情的能力
"
malfeasance," 不法行為、瀆職
a wrongful act that the actor had not right to do; improper professional conduct
"
counterfeit," 偽造、仿造
n. adj. made or done so that it is very similar to another thing, in order to deceive; fake
"
surfeit," 過量、過度
n. (of sth) too much of sth, esp of food and drink
"
felicitous," (話語)得體的、適當的
[反] infelicitous
adj. (esp of words) well-chosen; apt
"
odoriferous," 有氣味的
giving off an order
"
beneficent," 慈善的、仁愛的、有意的
adj. showing active kindness; generous; charitable
"
fictitious," 假的、虛構的
adj. imagined or invented; not real
"
ramification," 後果、影響
[類] consequence
n. part of a complex structure; secondary consequence, esp one that complicates
"
prefigure," 預示、預想
v. represent beforehand (sth that will happen in the future); foreshadow
"
infinite," 無限的、無窮的
adj. without limits; endless
"
inflate," 使充氣、使膨脹
v. sth (with sth) fill (a tyre, ballon, etc) with air or gas
"
delfect," 使偏斜、使轉向、避開
v. (from sth) (cause sth to) turn from its direction of movement
"
fugitive," 短暫的、逃犯
n. person who is running away or escaping
"
refugee," 難民、流亡者
"
hieroglyph," 象形文字、圖像文字
n. picture or symbol of an object, representing a word, syllable or sound, as used in ancient Egyptian and other writing
"
demography," 人口統計、人口學
n. study of statistics of births, deaths, diseases, etc in order to show the state of a community
"
ingratiate," 使得到...歡心、迎合
"
egregious," (缺點)過分的、驚人的
[類] flagrant
adj. (use of sb/sth bad) exceptional; outstanding
"
gregarious," 群居的、愛社交的
adj. liking to be with other people
"
adherent," 擁護者、信徒
n. supporter of a party or doctrine
"
heretical," 異教的、異端的
adj. of heresy or heretics
"
hortatory," 勸告的、忠告的
"
hydrate," 使成水合物
n. chemical compound of water with another substance
"
ideology," 意識形態、思想體系
n. ideas that form the basis of an economic or political theory or that are held by a particular group or person
"
imperious," 傲慢的、專橫的
adj. proud and arrogant; domineering; expecting obedience
"
juvenile," 少年到、似少年的
n. young person who is not yet adult
"
dilute," 弄稀、弄淡
v. sth make (a liquid or color) thinner or weaker (by adding water or another liquid)
"
levity," 輕率、輕浮
n. lack of proper seriousness or respect
"
delineate," 描繪、描寫
v. show (sth) by drawing or describing; portray
"
locus," 地點、所在地
n. exact place of sth
"
circumlocution," 迂迴累贅的陳述
[類] adj. circumlocutory 委婉曲折的
n. use of many words to say sth that could be said in a few words
"
lurid," 可怕的、恐怖的、火紅的
adj. having bright glaring colors or combinations of color
"
malign," 惡意的、誹謗
v. say unpleasant or untrue things about
"
emanate," 散發、發出
v. from sth/sb come or flow from sth/sb
"
manuscript," 手寫的、原稿的
n. thing written by hand, not typed or printed
"
demanding," 嚴格的、要求高的
"
mediate," 調停解決
v. act as a peacemaker or go-between for two or more people, groups, etc who disagree
"
demeanor," 舉動、行為、風度
behavior; bearing; behavioral attributes
"
menacing," 威脅的、不詳的
"
amend," 修訂、修正
"
emend," 校訂、修改
v. remove errors from
"
mentor," 導師
n. experienced and trusted adviser of an inexperienced person
"
perimeter," 周長
n. outer edge of a closed geometric shape
"
eminence," 卓越、顯赫、著名
n. state of being famous or distinguished
"
demise," 死亡、財產轉讓
n. death
"
intermittent," 間歇的、時斷時續的
adj. continually stopping and then starting again; not constant
"
surmise," 推測、猜測、臆測
[類] guess
v. suppose (sth) without having evidence that makes it certain; guess
"
mitigant," 緩和的、減輕的
"
mollify," 緩和、減輕、使安靜
v. lessen the anger of (sb); make calmer; soothe
"
moralistic," 說教的、教訓的
adj. having or showing definite but narrow beliefs and judgements about right and wrong actions
"
moribund," 即將結束的、垂死的
adj. at the point of death; about to come to an end
"
paramount," 至高無上的、最重要的、主要的
adj. having the greatest importance or significance; supreme
"
surmount," 克服、戰勝
v. deal with (a difficulty, etc); overcome
"
munificent," 寬宏的、慷慨的
adj. extremely generous; (of sth given) large in amount or splendid in quality
"
immutable," 不變的
adj. that cannot be changed; that will never change
"
innate," 與生俱來的、天生的、固有的
adj. in one's nature; possessed from birth
"
nascent," 初生的、萌芽的
adj. beginning to exist; not yet well developed
"
natal," 出生的、出生時的
"
enervate," 使失去活力、使衰弱
v. cause to lose strength or energy
"
annex," 兼併、附加
n. annexation
"
noxious," 有害的、有毒的
adj. harmful; poisonous
"
annotate," 註解
v. add notes to giving explanation or comment
"
pronounced," 明確的、明顯的
adj. very noticeable
"
novice," 新手、初學者
n. person who is new and inexperienced in a job, situation, etc; beginner
"
malodorous," 惡臭的
adj. smelling unpleasant
"
onerous," 繁重的、麻煩的
adj. needing effort; burdensome
"
ornate," 裝飾華麗的、過分修飾的
adj. richly decorated
"
palpable," 可觸知的、可摸到的、極其明瞭的
[類] tangible
[反] subtle(難以嘬摸的、微妙的)
adj. that can be felt or touched
"
imperious," 跋扈的、專橫的
adj. proud and arrogant; domineering; expecting obedience
"
impart," 分給、給予、傳授、傳達
v. sth (to sth) give (a quality) to sth
"
compassionate," 有同情心的
adj. showing or feeling compassion; compassionately
"
impassive," 不露情感的、無動於衷的、冷漠的
[類] n. impassivity
adj. showing no sign of feeling
"
pathological," 病理上的、病態的
"
impecunious," 一文不名的、貧困的
adj. having little or no money
"
pecuniary," 金錢的、錢財方面的
adj. of or concerning money
"
pedantic," 賣弄學問的
adj. of or like a pedant
"
penitential," 後悔的、懺悔的
[類] contrite (後悔的)
"
impending," 即將發生的、逼近的
adj. about to happen; imminent
"
pending," 未定的、待定的
adj. waiting to be decided or settled
"
petulant," 暴躁的、壞脾氣的
[類] peevish
adj. unreasonable impatient or irritable
"
propitious," 有利的
[類] auspicious, favorable
[反] bleak, dark depressing, desperate
adj. (fml) giving or indicating a good chance of success; favorable
"
sycophant," 拍馬屁者
[類] fawner; flunky
n. person who tries to gain people;s favor by insincerely flattering them and always agreeing with them
"
pious," 虔誠的、盡責的
adj. having or showing a dd. devotion to religion
"
placebo," 安慰劑、寬心丸
n. (medical) harmless substance given as if it were medicine to clam a patient who mistakenly believes he is ill
"
duplicate," 完全一樣的、複製的、副本的
adj. exactly like something else; identical
"
pompous," 浮華的、愛炫耀的
[類] arrogant, bombastic
adj. feeling or showing that one feels, that one is much more important than other people
"
ponder," 仔細考慮、衡量
v. think about (sth) carefully and for a long time, esp in trying to reach a decision; consider
"
juxtapose," 並排、並置
v. place (people or things) side by side or very close together, esp to show a contrast
"
predisposition," 傾向、素質
n. (to do sth) state of mind or body that makes sb liable to act in a certain way or to suffer from a certain disease
"
omnipotent," 全能的、萬能的
adj. having unlimited or very great power
"
pressing," 緊迫的、迫切的
adj. urgent
"
priority," 再掀、居前
n. (state of) being more important (in rank)
"
propaganda," 政治宣傳
"
repulse," 擊退、驅逐、使厭惡、使產生反感
v. drive back (an attacker or an attack) by fighting; repel
"
quirky," 離奇的、古怪的
"
regime," 政權、政治制的
n. method or system of government
"
deride," 嘲笑、嘲弄
v. sb/sth treat sb/sth as funny and not worthy of serious attention; mock sb/sth
"
ridicule," 奚落、嘲笑
n. making sb/sth appear foolish or absurd; corn
"
shrug," 聳肩
v. raise (one's shoulders) slightly to express doubt, indifference, ignorance, etc
"
disrupt," 使分裂、使瓦解
v. cause disorder in
"
salubrious," 有益健康的、清爽的
adj. (esp of the climate) health-giving
"
omniscient," 無所不知的、博識的
adj. knowing everything
"
resemble," 與...相似、像
"
assent," 同意、贊成
n. (fml) agreement; approval
"
observant," 注意的、當心的
"
assiduous," 勤勉的、專心的
adj. showing constant and careful attention
"
solitary," 單獨的、獨自的
adj. (living) alone; without companions
"
resonate," 宏亮的、共鳴的
adj. continuing to echo; resounding
"
despicable," 可鄙的、卑劣的
adj. (to do sth)deserving to be despised; contemptible
"
perspicuous," 明晰的、明瞭的
adj. expressed clearly
"
apostasy," 被叫、脫黨、變節
n. abandoning one's religious beliefs, principles, political party, etc
"
ecstatic," 狂喜的、心花怒放的
adj. causing or showing ecstasy
"
misconstrue," 曲解、誤解
v. get a wrong idea of or misinterpret (sb's words, acts, etc)
"
contingent," 意外事故、偶然事件
[類] n. contingency
adj. on/upon sth dependent on sth that may or may not happen
"
abstinent," 飲食有度的、有節制的
"
extemporize," 即席發言的、即興演奏
[類] improvise
to do something extemporaneously; improvise; especially; to speak extemporaneously
"
anatomical," 解剖的、解剖學的
[反] a. anatomy
"
tortuous," 迂迴曲折的
adj. full of twists and turns
"
detour," 繞道、繞行的路
n. route that avoids a blocked road, etc ;deviation
"
diatribe," 抨擊
[類] philippic
n. lengthy and bitter attack in words
"
contumacious," 違抗的、不服從的
[類] n. contumacy 頑抗、抗命
adj. obstinate and disobedient
"
imperturbable," 冷靜的、沈著的
adj. not easily troubled or worried; calm
"
prevalent," 普遍的、盛行的
adj. (among/in sth/sb) existing or happening generally; widespread
"
variability," 變化性
n. quality of being variable; tendency to vary
"
provenance," (藝術)出處、起源
n. (place of) origin
"
vernacular," 白話、口語
n. language or dialect spoken in a particular country or region, as compared with a formal or written language
"
incontrovertible," 無疑的、明白的
adj. so obvious and certain that it cannot be disputed or denied
"
divert," 使事物轉向、使娛樂
v. sb/sth (to sth) turn sb/sth from one course to another
"
reversible," 可逆的、可反轉的
"
revert," 恢復、回復到、重新考慮
v. to sth return to (a former state or condition)
"
vestige," 痕跡、遺跡、殘餘
n. small remaining part of what once existed; trace
"
deviate," 越軌、脫離
v. from sth stop following
"
impervious," 不受影響的、無動於衷的
adj. not allowing water, gas, etc to pass through
"
vigorous," 精力旺盛的、健壯的
"
guile," 欺騙
n. deceit cunning
"
providential," 幸運的、及時的
"
vital," 極其重要的、充滿活力的
adj. connected with or essential to life
"
provocative," 挑性的、煽動的
adj. tending or intended to arouse anger, annoyance, controversy, etc
"
univocal," 單義的、意義明確的
unambiguous or unmistakable
"
malevolent," 有惡意的、壞心腸的
adj. wishing to do evil or cause harm to others; spiteful
"
devour," 狼吞虎嚥地吃、吃光
v. eat (sth) hungrily or greedily
"
voracious," 狼吞虎嚥的、貪婪的
adj. very greedy in eating; ravenous
"
divulge," 洩漏、透露
v. sth make known (sth secret)
"
vulgar," 粗俗的、下流的、粗魯的
adj. lacking in good taste or refinement
"
alacrity," 敏捷、輕快
n. prompt and eager readiness
"
anecdote," 軼事、趣聞
n. short, interesting or amusing story about a real person or event
"
asseverate," 鄭重說明、斷言
v. state (sth) firmly and solemnly
"
atrophy," (器官)萎縮
n. wasting away of the body or part of it through lack of nourishment or use
"
axiomatic," 公理的、不證自明的
adj. of or like an axiom; car and evident without needing to be proved
"
backbite," 誹謗、中傷
"
baroque," 過分雕琢的、高度裝飾的
[類] flamboyant, florid, luscious
[反] austere 簡樸的
adj. n. highly ornate style fashionable in the arts (esp architecture) in Europe in the 17th and 18th centuries
"
begrudging," 勉強的、吝惜的
"
bravado," 虛張聲勢
n. display of boldness
"
bromidic," 陳腐的
[類] trite
"
bypass," 規避、避開
"
chic," 高雅時尚的
adj. elegant and stylish
"
chimera," 希臘神話女怪、幻想
n. imaginary monster made up of parts of several different animals
"
churlish," 不禮貌的
[類] vulgar, surly
"
clear-cut," 明確的、清楚的
"
commonplace," 司空見慣的事、老生常談
adj. ordinary; not interesting
"
carbby," 脾氣壞的
v. crab 批評、挑剔
"
delimit," 確定...界線、界定、限定
v. fix the limits or boundaries of
"
elegy," 輓歌、哀歌
n. poem or song expressing sorrow, esp for the dead; lament
"
enfeeble," 使虛弱、使無力
v. make weak or feeble
"
entailed," 必然伴隨而發生的
"
fraught," 充滿...的、令人擔憂的、令人憂慮的
adj. with sth filled with sth; charged with sth
"
histrionic," 矯揉造作的、戲劇的
adj. very theatrical in manner; excessively dramatic; affected
"
hodgepodge," 大雜燴
[類] patchwork
hotchpotch
"
imbue," 灌輸、使充滿
v. sb/sth with sth fill or inspire sb/sth with (feelings, etc)
"
knotty," 難解決的、棘手的
[類] n. knot 結
adj.(of timber) full of knots
"
meager," 受的、粗劣的、不足的
[類] insufficient 不足的、不夠的
deficient in quality or quantity
"
meretricious," 俗氣的、浮華的
adj. apparently attractive but in fact valueless
"
modicum," 些許
n. small or moderate amount of sth
"
momentous," 重大的、重要的
adj. very important; serious
"
peevish," 易怒的、乖戾的、壞脾氣的
[類] irritable, querulous, fretful, fractious
adj. easily annoyed (esp by unimportant things); irritable
"
physiological," 生理的、生理學的
"
protean," 變化不定的、變化多端的
adj. that can change quickly and easily; variable
"
quandary," 困惑、為難
n. state of not being able to decide what to do ; awkward or difficult situation
"
rapprochement," (國家間)友好、和睦
n. with sb/between A and B) renewal of friendly relations, esp between countries
"
retaliate," 報復、回敬
v. repay an injury, insult, etc with a similar one
"
sartorial," 衣服的、男裝的
adj. of (use men's) clothes or a way of dressing
"
shading," 細微差異
[類] nuance
"
skulduggery," 欺騙、詐欺
n. deception and planning of evil acts; trickery
"
slumber," 睡、睡眠
v. sleep esp peacefully and comfortably
"
staggering," 驚人的
adj. astonishing; shocking
"
stoicism," 斯多葛哲學、禁慾主義
n. behaving stoically
"
sumptuous," 豪華的、奢華的、奢侈的
adj. looking expensive and splendid
"
valorize," 增進價值、給予價值、肯定
"
woo," 求愛、懇求
v. try to obtain the support of (sb)
"
noisome," 有害的、有害健康的、惡臭的
[類] injurious
adj. offensive; disgusting; stinking
"
conceal," 隱藏、隱匿
"
obscure," 遮掩、遮蔽、使不分明、無名的、默默無聞的
"
unassuming," 不愛出風頭的、謙遜的
"
estrange," 使疏遠、使感情失和
to arouse especially mutual enmity or difference in where there had formerly been love, affection, or friendliness; alienate
"
tribute," 進貢、貢物、貢金
n. action, statement or gift that is meant to show one's respect or admiration
"
denounce," 指責、譴責
v. sb (to sb) (as sth) give information (to the authorities) against sb
"
disprove," 證明...是虛假的、反駁
v. show that is wrong or false
"
morph," 使變形
"
metamorphose," 使變形、使變質
v. (into sth) (fml) (cause sb/sth to) change in form or nature
"
assess," 判斷、評價、評定
"
capacious," 容量大的、寬敞的
adj. that can hold much; roomy
"
captivate," 迷惑、吸引
[類] adj. captivating 吸引人的
v. fascinate (sb); charm; enchant
"
ravenous," 渴求
very hungry
"
contemptuous," 鄙視
feeling or showing deep hatred or disapproval; feeling or showing contempt
"
appraise," 評定、鑑定、估價、評價
"
incumbent," 富有職責的、義不容辭的
adj. on/upon sb necessary as part of sb's duty
"
tonic," 使任精神振奮的、滋補的、回覆的
n. medicine that gives strength or energy, taken after illness or when tired
"
admonish," 告誡、警告
[類] reprove
to express warning or disapproval to especially in a gentle, earnest, or solicitous manner
"
